11376,4.0000,0.0349
11381,4.0000,0.0376
11386,4.0000,0.0349
11391,4.0000,0.0134
11396,4.0000,0.0295
11401,4.0000,0.0242
11406,4.0000,0.0269
11411,4.0000,0.0188
11416,4.0000,0.0295
11421,4.0000,0.0269
11426,4.0000,0.0269
11431,4.0000,0.0349
11436,4.0000,0.0349
11441,4.0000,0.0295
11446,4.0000,0.0269
11451,4.0000,0.0295
11456,4.0000,0.0295
11461,4.0000,0.0107
11466,4.0000,0.0295
11471,4.0000,0.0161
11476,4.0000,0.0215
11481,4.0000,0.0269
11486,4.0000,0.0322
11491,4.0000,0.0349
11496,4.0000,0.0161
11501,4.0000,0.0403
11506,4.0000,0.0161
11511,4.0000,0.0242
11516,4.0000,0.0269
11521,4.0000,0.0295
11526,4.0000,0.0215
11531,4.0000,0.0269
11536,4.0000,0.0322
11541,4.0000,0.0295
11546,4.0000,0.0322
11551,4.0000,0.0322
11556,4.0000,0.0242
11561,4.0000,0.0269
11566,4.0000,0.0242
11571,4.0000,0.0269
11576,4.0000,0.0081
11581,4.0000,0.0215
11586,4.0000,0.0161
11591,4.0000,0.0269
11596,4.0000,0.0295
11601,4.0000,0.0349
11606,4.0000,0.0403
11611,4.0000,0.0107
11616,4.0000,0.0376
11621,4.0000,0.0161
11626,4.0000,0.0269
11631,4.0000,0.0269
11636,4.0000,0.0242
11641,4.0000,0.0242
11646,4.0000,0.0134
11651,4.0000,0.0295
11656,4.0000,0.0269
11661,4.0000,0.0269
11666,4.0000,0.0349
11671,4.0000,0.0269
11676,4.0000,0.0242
11681,4.0000,0.0188
11686,4.0000,0.0269
11691,4.0000,0.0161
11696,4.0000,0.0269
11701,4.0000,0.0161
11706,4.0000,0.0215
11711,4.0000,0.0295
11716,4.0000,0.0322
11721,4.0000,0.0403
11726,4.0000,0.0054
11731,4.0000,0.0376
11736,4.0000,0.0188
11741,4.0000,0.0269
11746,4.0000,0.0242
11751,4.0000,0.0295
11756,4.0000,0.0215
11761,4.0000,0.0107
11766,4.0000,0.0322
11771,4.0000,0.0242
11776,4.0000,0.0269
11781,4.0000,0.0242
11786,4.0000,0.0269
11791,4.0000,0.0295
11796,4.0000,0.0107
11801,4.0000,0.0269
11806,4.0000,0.0161
11811,4.0000,0.0269
11816,4.0000,0.0215
11821,4.0000,0.0188
11826,4.0000,0.0322
11831,4.0000,0.0269
11836,4.0000,0.0349
11841,-4.0000,0.0134
11846,-4.0000,1.2974
11851,-4.0000,0.6286
11856,-4.0000,0.2256
11861,-4.0000,0.0698
11866,-4.0000,0.0295
11871,-4.0000,-0.0027
11876,-4.0000,-0.0027
11881,-4.0000,-0.0081
11886,-4.0000,-0.0242
11891,-4.0000,-0.0107
11896,-4.0000,-0.0349
11901,-4.0000,-0.0376
11906,-4.0000,-0.0322
11911,-4.0000,-0.0322
11916,-4.0000,-0.0242
11921,-4.0000,-0.0242
11926,-4.0000,-0.0242
11931,-4.0000,-0.0215
11936,-4.0000,-0.0215
11941,-4.0000,-0.0269
11946,-4.0000,-0.0403
11951,-4.0000,-0.0295
11956,-4.0000,-0.0349
11961,-4.0000,-0.0295
11966,-4.0000,-0.0349
11971,-4.0000,-0.0295
11976,-4.0000,-0.0295
11981,-4.0000,-0.0322
11986,-4.0000,-0.0295
11991,-4.0000,-0.0269
11996,-4.0000,-0.0269
12001,-4.0000,-0.0322
12006,-4.0000,-0.0322
12011,-4.0000,-0.0349
12016,-4.0000,-0.0376
12021,-4.0000,-0.0349
12026,-4.0000,-0.0269
12031,-4.0000,-0.0349
12036,-4.0000,-0.0269
12041,-4.0000,-0.0242
12046,-4.0000,-0.0215
12051,-4.0000,-0.0242
12056,-4.0000,-0.0215
12061,-4.0000,-0.0349
12066,-4.0000,-0.0269
12071,-4.0000,-0.0403
12076,-4.0000,-0.0322
12081,-4.0000,-0.0349
12086,-4.0000,-0.0376
12091,-4.0000,-0.0269
12096,-4.0000,-0.0322
12101,-4.0000,-0.0161
12106,-4.0000,-0.0295
12111,-4.0000,-0.0322
12116,-4.0000,-0.0322
12121,-4.0000,-0.0322
12126,-4.0000,-0.0376
12131,-4.0000,-0.0376
12136,-4.0000,-0.0349
12141,-4.0000,-0.0295
12146,-4.0000,-0.0322
12151,-4.0000,-0.0242
12156,-4.0000,-0.0295
12161,-4.0000,-0.0188
12166,-4.0000,-0.0242
12171,-4.0000,-0.0269
12176,-4.0000,-0.0349
12181,-4.0000,-0.0269
12186,-4.0000,-0.0349
12191,-4.0000,-0.0349
12196,-4.0000,-0.0349
12201,-4.0000,-0.0376
12206,-4.0000,-0.0269
12211,-4.0000,-0.0295
12216,-4.0000,-0.0134
12221,-4.0000,-0.0322
12226,-4.0000,-0.0269
12231,-4.0000,-0.0349
12236,-4.0000,-0.0349
12241,-4.0000,-0.0349
12246,-4.0000,-0.0349
12251,-4.0000,-0.0376
12256,-4.0000,-0.0295
12261,-4.0000,-0.0322
12266,-4.0000,-0.0215
12271,-4.0000,-0.0295
12276,-4.0000,-0.0215
12281,-4.0000,-0.0269
12286,-4.0000,-0.0215
12291,-4.0000,-0.0349
12296,-4.0000,-0.0242
12301,-4.0000,-0.0322
12306,-4.0000,-0.0349
12311,-4.0000,-0.0322
12316,-4.0000,-0.0322
12321,-4.0000,-0.0081
12326,-4.0000,-0.0349
12331,-4.0000,-0.0134
12336,-4.0000,-0.0295
12341,-4.0000,-0.0295
12346,-4.0000,-0.0322
